,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
29114,Harrison Butker,K,2019,14,KAN,NWE,12/8/2019,201912080nwe,A,,23,16,3,49.5,23.25,-7,outdoors,grass,"32 degrees, relative humidity 56%, wind 8 mph",32,8,3,3,0,0,1,2,0,2,2,0,0,
29115,Nick Folk,K,2019,14,NWE,KAN,12/8/2019,201912080nwe,H,,16,23,-3,49.5,26.25,7,outdoors,grass,"32 degrees, relative humidity 56%, wind 8 mph",32,8,1,2,0,1,0,0,0,1,1,0,0,
29116,Chris Boswell,K,2019,14,PIT,ARI,12/8/2019,201912080crd,A,,23,17,-2.5,43.5,23,-6,retractable roof (closed),grass,indoors,,,3,3,0,1,2,0,0,2,2,0,0,
29117,Zane Gonzalez,K,2019,14,ARI,PIT,12/8/2019,201912080crd,H,,17,23,2.5,43.5,20.5,6,retractable roof (closed),grass,indoors,,,1,1,0,0,1,0,0,2,2,0,0,
29118,Aldrick Rosas,K,2019,14,NYG,PHI,12/9/2019,201912090phi,A,OT,17,23,9.5,45.5,18,6,outdoors,grass,"53 degrees, relative humidity 87%, wind 11 mph",53,11,1,1,0,0,1,0,0,2,2,0,0,
29119,Jake Elliott,K,2019,14,PHI,NYG,12/9/2019,201912090phi,H,OT,23,17,-9.5,45.5,27.5,-6,outdoors,grass,"53 degrees, relative humidity 87%, wind 11 mph",53,11,1,2,0,0,1,0,0,2,2,0,0,
29120,Nick Folk,K,2019,15,NWE,CIN,12/15/2019,201912150cin,A,,34,13,-10.5,42,26.25,-21,outdoors,grass,"36 degrees, relative humidity 58%, wind 6 mph",36,6,2,2,0,0,0,2,0,4,4,0,0,
29121,Randy Bullock,K,2019,15,CIN,NWE,12/15/2019,201912150cin,H,,13,34,10.5,42,15.75,21,outdoors,grass,"36 degrees, relative humidity 58%, wind 6 mph",36,6,2,2,0,0,1,1,0,1,1,0,0,
29122,Jason Myers,K,2019,15,SEA,CAR,12/15/2019,201912150car,A,,30,24,-6,48.5,27.25,-6,outdoors,grass,"56 degrees, relative humidity 45%, wind 5 mph",56,5,1,1,0,0,1,0,0,3,4,0,0,
29123,Joey Slye,K,2019,15,CAR,SEA,12/15/2019,201912150car,H,,24,30,6,48.5,21.25,6,outdoors,grass,"56 degrees, relative humidity 45%, wind 5 mph",56,5,1,1,0,0,0,0,1,3,3,0,0,
29124,Jake Elliott,K,2019,15,PHI,WAS,12/15/2019,201912150was,A,,37,27,-7,38,22.5,-10,outdoors,grass,"52 degrees, relative humidity 44%, wind 13 mph",52,13,1,1,0,1,0,0,0,4,4,0,0,
29125,Dustin Hopkins,K,2019,15,WAS,PHI,12/15/2019,201912150was,H,,27,37,7,38,15.5,10,outdoors,grass,"52 degrees, relative humidity 44%, wind 13 mph",52,13,2,2,0,0,0,1,1,3,3,0,0,
29126,Ka'imi Fairbairn,K,2019,15,HOU,TEN,12/15/2019,201912150oti,A,,24,21,3,50,23.5,-3,outdoors,grass,"45 degrees, relative humidity 71%, wind 4 mph",45,4,1,1,0,1,0,0,0,3,3,0,0,
29127,Jason Sanders,K,2019,15,MIA,NYG,12/15/2019,201912150nyg,A,,20,36,3.5,47,21.75,16,outdoors,fieldturf ,"48 degrees, relative humidity 42%, wind 19 mph",48,19,2,3,0,1,0,1,0,2,2,0,0,
29128,Eddy Pineiro,K,2019,15,CHI,GNB,12/15/2019,201912150gnb,A,,13,21,4,40,18,8,outdoors,grass,"11 degrees, relative humidity 70%, wind 7 mph",11,7,2,2,0,1,1,0,0,1,1,0,0,
29129,Matt Gay,K,2019,15,TAM,DET,12/15/2019,201912150det,A,,38,17,-5.5,46,25.75,-21,dome,fieldturf,indoors,,,1,2,0,0,0,1,0,5,5,0,0,
29130,Matt Prater,K,2019,15,DET,TAM,12/15/2019,201912150det,H,,17,38,5.5,46,20.25,21,dome,fieldturf,indoors,,,1,1,0,0,0,1,0,2,2,0,0,
29131,Dan Bailey,K,2019,15,MIN,LAC,12/15/2019,201912150sdg,A,,39,10,-1,45,23,-29,outdoors,grass,"64 degrees, relative humidity 28%, wind 14 mph",64,14,4,4,0,2,1,1,0,3,4,0,0,
29132,Michael Badgley,K,2019,15,LAC,MIN,12/15/2019,201912150sdg,H,,10,39,1,45,22,29,outdoors,grass,"64 degrees, relative humidity 28%, wind 14 mph",64,14,1,1,0,0,0,1,0,1,1,0,0,
29133,Josh Lambo,K,2019,15,JAX,OAK,12/15/2019,201912150rai,A,,20,16,7,47,20,-4,outdoors,grass,"59 degrees, relative humidity 52%, wind 7 mph",59,7,2,2,0,1,0,1,0,2,2,0,0,
29134,Daniel Carlson,K,2019,15,OAK,JAX,12/15/2019,201912150rai,H,,16,20,-7,47,27,4,outdoors,grass,"59 degrees, relative humidity 52%, wind 7 mph",59,7,3,4,0,1,2,0,0,1,1,0,0,
29135,Austin Seibert,K,2019,15,CLE,ARI,12/15/2019,201912150crd,A,,24,38,-3,49,26,14,retractable roof (closed),grass,indoors,,,1,2,0,0,0,1,0,3,3,0,0,
29136,Zane Gonzalez,K,2019,15,ARI,CLE,12/15/2019,201912150crd,H,,38,24,3,49,23,-14,retractable roof (closed),grass,indoors,,,1,1,0,1,0,0,0,5,5,0,0,
29137,Younghoe Koo,K,2019,15,ATL,SFO,12/15/2019,201912150sfo,A,,29,22,49,50,0.5,-7,outdoors,grass,"55 degrees, relative humidity 58%, wind 6 mph",55,6,1,1,0,0,0,1,0,2,2,0,0,
29138,Robbie Gould,K,2019,15,SFO,ATL,12/15/2019,201912150sfo,H,,22,29,-49,50,49.5,7,outdoors,grass,"55 degrees, relative humidity 58%, wind 6 mph",55,6,3,3,0,1,0,2,0,1,2,0,0,
29139,Kai Forbath,K,2019,15,DAL,LAR,12/15/2019,201912150dal,H,,44,21,1,48.5,23.75,-23,retractable roof (closed),fieldturf,indoors,,,3,3,0,0,0,2,1,5,5,0,0,
29140,Stephen Hauschka,K,2019,15,BUF,PIT,12/15/2019,201912150pit,A,,17,10,1,37,18,-7,outdoors,grass,"31 degrees, relative humidity 67%, wind 6 mph",31,6,1,1,0,0,1,0,0,2,2,0,0,
29141,Chris Boswell,K,2019,15,PIT,BUF,12/15/2019,201912150pit,H,,10,17,-1,37,19,7,outdoors,grass,"31 degrees, relative humidity 67%, wind 6 mph",31,6,1,1,0,0,0,1,0,1,1,0,0,
29142,Wil Lutz,K,2019,15,NOR,IND,12/16/2019,201912160nor,H,,34,7,-8,48.5,28.25,-27,dome,astroturf,indoors,,,2,2,0,1,1,0,0,4,4,0,0,
29143,Ka'imi Fairbairn,K,2019,16,HOU,TAM,12/21/2019,201912210tam,A,,23,20,49,73,12,-3,outdoors,grass,indoors,,,3,3,0,1,2,0,0,2,2,1,26,26
29144,Matt Gay,K,2019,16,TAM,HOU,12/21/2019,201912210tam,H,,20,23,49,73,12,3,outdoors,grass,indoors,,,2,3,0,0,0,1,1,2,2,0,0,
29145,Stephen Hauschka,K,2019,16,BUF,NWE,12/21/2019,201912210nwe,A,,17,24,65,33,-16,7,outdoors,grass,indoors,,,1,1,0,0,1,0,0,2,2,0,0,
29146,Nick Folk,K,2019,16,NWE,BUF,12/21/2019,201912210nwe,H,,24,17,65,33,-16,-7,outdoors,grass,indoors,,,3,3,0,1,1,0,1,1,1,0,0,
29147,Greg Zuerlein,K,2019,16,LAR,SFO,12/21/2019,201912210sfo,A,,31,34,70,58,-6,3,outdoors,grass,indoors,,,1,2,0,0,0,0,1,4,4,0,0,
29148,Robbie Gould,K,2019,16,SFO,LAR,12/21/2019,201912210sfo,H,,34,31,70,58,-6,-3,outdoors,grass,indoors,,,2,2,0,1,1,0,0,4,4,0,0,
29149,Wil Lutz,K,2019,16,NOR,TEN,12/22/2019,201912220oti,A,,38,28,-3.5,49,26.25,-10,outdoors,grass,"50 degrees, relative humidity 59%, wind 4 mph",50,4,1,1,0,0,0,1,0,5,5,0,0,
29150,Chris Boswell,K,2019,16,PIT,NYJ,12/22/2019,201912220nyj,A,,10,16,-3,36.5,19.75,6,outdoors,fieldturf ,"45 degrees, relative humidity 52%, wind 6 mph",45,6,1,1,0,0,0,1,0,1,1,0,0,
29151,Sam Ficken,K,2019,16,NYJ,PIT,12/22/2019,201912220nyj,H,,16,10,3,36.5,16.75,-6,outdoors,fieldturf ,"45 degrees, relative humidity 52%, wind 6 mph",45,6,3,3,0,0,1,1,1,1,1,0,0,
29152,Randy Bullock,K,2019,16,CIN,MIA,12/22/2019,201912220mia,A,OT,35,38,-1.5,46,23.75,3,outdoors,grass,"76 degrees, relative humidity 68%, wind 15 mph",76,15,2,2,0,1,0,0,1,1,1,0,0,
29153,Jason Sanders,K,2019,16,MIA,CIN,12/22/2019,201912220mia,H,OT,38,35,1.5,46,22.25,-3,outdoors,grass,"76 degrees, relative humidity 68%, wind 15 mph",76,15,1,2,0,0,1,0,0,5,5,0,0,
29154,Chase McLaughlin,K,2019,16,IND,CAR,12/22/2019,201912220clt,H,,38,6,-7.5,46,26.75,-32,retractable roof (closed),fieldturf,indoors,,,1,1,0,0,1,0,0,5,5,0,0,
29155,Justin Tucker,K,2019,16,BAL,CLE,12/22/2019,201912220cle,A,,31,15,-9.5,48.5,29,-16,outdoors,grass,"49 degrees, relative humidity 41%, wind 10 mph",49,10,1,1,0,0,1,0,0,4,4,0,0,
29156,Younghoe Koo,K,2019,16,ATL,JAX,12/22/2019,201912220atl,H,,24,12,-7.5,48,27.75,-12,dome,fieldturf,indoors,,,1,2,0,1,0,0,0,3,3,0,0,
29157,Daniel Carlson,K,2019,16,OAK,LAC,12/22/2019,201912220sdg,A,,24,17,7.5,45,18.75,-7,outdoors,grass,"64 degrees, relative humidity 60%, wind 10 mph",64,10,1,1,0,0,0,1,0,3,3,0,0,
29158,Michael Badgley,K,2019,16,LAC,OAK,12/22/2019,201912220sdg,H,,17,24,-7.5,45,26.25,7,outdoors,grass,"64 degrees, relative humidity 60%, wind 10 mph",64,10,1,1,0,1,0,0,0,2,2,0,0,
29159,Matt Prater,K,2019,16,DET,DEN,12/22/2019,201912220den,A,,17,27,9.5,40,15.25,10,outdoors,grass,"67 degrees, relative humidity 8%, wind 3 mph",67,3,1,1,0,1,0,0,0,2,2,0,0,
29160,Brandon McManus,K,2019,16,DEN,DET,12/22/2019,201912220den,H,,27,17,-9.5,40,24.75,-10,outdoors,grass,"67 degrees, relative humidity 8%, wind 3 mph",67,3,2,2,0,1,1,0,0,3,3,0,0,
29161,Zane Gonzalez,K,2019,16,ARI,SEA,12/22/2019,201912220sea,A,,27,13,8,51,21.5,-14,outdoors,fieldturf,"43 degrees, relative humidity 87%, wind 7 mph",43,7,2,3,0,1,0,1,0,3,3,0,0,
29162,Jason Myers,K,2019,16,SEA,ARI,12/22/2019,201912220sea,H,,13,27,-8,51,29.5,14,outdoors,fieldturf,"43 degrees, relative humidity 87%, wind 7 mph",43,7,2,2,0,0,1,0,1,1,1,0,0,
29163,Jake Elliott,K,2019,16,PHI,DAL,12/22/2019,201912220phi,H,,17,9,2,47,22.5,-8,outdoors,grass,"47 degrees, relative humidity 46%, wind 7 mph",47,7,1,3,0,0,1,0,0,2,2,0,0,
29164,Harrison Butker,K,2019,16,KAN,CHI,12/22/2019,201912220chi,A,,26,3,-6.5,45.5,26,-23,outdoors,grass,"45 degrees, relative humidity 66%, wind 10 mph",45,10,2,2,0,0,1,0,1,2,3,0,0,
29165,Dan Bailey,K,2019,16,MIN,GNB,12/23/2019,201912230min,H,,10,23,-4,47,25.5,13,dome,sportturf,indoors,,,1,1,0,1,0,0,0,1,1,0,0,
29166,Austin Seibert,K,2019,17,CLE,CIN,12/29/2019,201912290cin,A,,23,33,-2.5,44,23.25,10,outdoors,grass,"64 degrees, relative humidity 80%, wind 7 mph",64,7,1,1,0,0,0,1,0,2,3,0,0,
29167,Randy Bullock,K,2019,17,CIN,CLE,12/29/2019,201912290cin,H,,33,23,2.5,44,20.75,-10,outdoors,grass,"64 degrees, relative humidity 80%, wind 7 mph",64,7,2,2,0,0,0,2,0,3,4,0,0,
29168,Joey Slye,K,2019,17,CAR,NOR,12/29/2019,201912290car,H,,10,42,13.5,45,15.75,32,outdoors,grass,"63 degrees, relative humidity 89%, wind 9 mph",63,9,1,1,0,1,0,0,0,1,1,0,0,
29169,Sam Ficken,K,2019,17,NYJ,BUF,12/29/2019,201912290buf,A,,13,6,-1.5,37,19.25,-7,outdoors,astroturf,"43 degrees, relative humidity 85%, wind 7 mph",43,7,2,4,0,0,1,1,0,1,1,0,0,
29170,Younghoe Koo,K,2019,17,ATL,TAM,12/29/2019,201912290tam,A,OT,28,22,1,48,23.5,-6,outdoors,grass,"78 degrees, relative humidity 77%, wind 12 mph",78,12,5,5,0,1,2,2,0,1,1,0,0,
29171,Jason Sanders,K,2019,17,MIA,NWE,12/29/2019,201912290nwe,A,,27,24,17.5,46,14.25,-3,outdoors,grass,"43 degrees, relative humidity 41%, wind 2 mph",43,2,2,2,0,1,1,0,0,3,3,0,0,
29172,Nick Folk,K,2019,17,NWE,MIA,12/29/2019,201912290nwe,H,,24,27,-17.5,46,31.75,3,outdoors,grass,"43 degrees, relative humidity 41%, wind 2 mph",43,2,1,1,0,1,0,0,0,3,3,0,0,
29173,Eddy Pineiro,K,2019,17,CHI,MIN,12/29/2019,201912290min,A,,21,19,-5,36.5,20.75,-2,dome,sportturf,indoors,,,4,4,0,2,2,0,0,1,1,0,0,
29174,Dan Bailey,K,2019,17,MIN,CHI,12/29/2019,201912290min,H,,19,21,5,36.5,15.75,2,dome,sportturf,indoors,,,4,4,0,0,4,0,0,1,1,0,0,
29175,Harrison Butker,K,2019,17,KAN,LAC,12/29/2019,201912290kan,H,,31,21,-10,46,28,-10,outdoors,astroturf,"40 degrees, relative humidity 70%, wind 16 mph",40,16,1,1,0,0,0,1,0,4,4,0,0,
29176,Mason Crosby,K,2019,17,GNB,DET,12/29/2019,201912290det,A,,23,20,-13.5,44,28.75,-3,dome,fieldturf,indoors,,,3,4,0,0,2,1,0,2,2,0,0,
29177,Matt Prater,K,2019,17,DET,GNB,12/29/2019,201912290det,H,,20,23,13.5,44,15.25,3,dome,fieldturf,indoors,,,2,2,0,0,0,1,1,2,2,0,0,
29178,Chris Boswell,K,2019,17,PIT,BAL,12/29/2019,201912290rav,A,,10,28,-2,35,18.5,18,outdoors,grass,"46 degrees, relative humidity 91%, wind 7 mph",46,7,1,1,0,1,0,0,0,1,1,0,0,
29179,Justin Tucker,K,2019,17,BAL,PIT,12/29/2019,201912290rav,H,,28,10,2,35,16.5,-18,outdoors,grass,"46 degrees, relative humidity 91%, wind 7 mph",46,7,4,4,0,1,0,3,0,2,2,0,0,
29180,Zane Gonzalez,K,2019,17,ARI,LAR,12/29/2019,201912290ram,A,,24,31,7,46,19.5,7,outdoors,grass,"62 degrees, relative humidity 47%, no wind",62,0,1,1,0,0,1,0,0,3,3,0,0,
29181,Greg Zuerlein,K,2019,17,LAR,ARI,12/29/2019,201912290ram,H,,31,24,-7,46,26.5,-7,outdoors,grass,"62 degrees, relative humidity 47%, no wind",62,0,1,2,0,0,0,1,0,4,4,0,0,
29182,Jake Elliott,K,2019,17,PHI,NYG,12/29/2019,201912290nyg,A,,34,17,-4,44,24,-17,outdoors,fieldturf ,"42 degrees, relative humidity 69%, wind 5 mph",42,5,2,2,0,0,1,0,1,4,4,0,0,
29183,Aldrick Rosas,K,2019,17,NYG,PHI,12/29/2019,201912290nyg,H,,17,34,4,44,20,17,outdoors,fieldturf ,"42 degrees, relative humidity 69%, wind 5 mph",42,5,1,1,0,0,1,0,0,2,2,0,0,
29184,Chase McLaughlin,K,2019,17,IND,JAX,12/29/2019,201912290jax,A,,20,38,-5,41.5,23.25,18,outdoors,grass,"58,472",,,2,2,0,1,0,0,1,2,2,0,0,
29185,Josh Lambo,K,2019,17,JAX,IND,12/29/2019,201912290jax,H,,38,20,5,41.5,18.25,-18,outdoors,grass,"58,472",,,3,3,0,1,0,0,2,3,3,0,0,
29186,Brandon McManus,K,2019,17,DEN,OAK,12/29/2019,201912290den,H,,16,15,-5.5,41.5,23.5,-1,outdoors,grass,"31 degrees, relative humidity 43%, wind 6 mph",31,6,3,4,0,0,0,2,1,1,1,0,0,
29187,Dustin Hopkins,K,2019,17,WAS,DAL,12/29/2019,201912290dal,A,,16,47,12.5,47.5,17.5,31,retractable roof (closed),fieldturf,indoors,,,3,3,0,1,1,1,0,1,1,0,0,
29188,Kai Forbath,K,2019,17,DAL,WAS,12/29/2019,201912290dal,H,,47,16,-12.5,47.5,30,-31,retractable roof (closed),fieldturf,indoors,,,4,4,0,1,0,3,0,5,5,0,0,
29189,Robbie Gould,K,2019,17,SFO,SEA,12/29/2019,201912290sea,A,,26,21,-49,47,48,-5,outdoors,fieldturf,"51 degrees, relative humidity 70%, wind 3 mph",51,3,2,2,0,0,1,1,0,2,2,0,0,
29190,Jake Elliott,K,2018,1,PHI,ATL,9/6/2018,201809060phi,H,,18,12,-1,44.5,22.75,-6,outdoors,grass ,"81 degrees, wind 8 mph",81,8,1,1,0,1,0,0,0,1,1,0,0,
29191,Ka'imi Fairbairn,K,2018,1,HOU,NWE,9/9/2018,201809090nwe,A,,20,27,6,49.5,21.75,7,outdoors,fieldturf ,"62 degrees, wind 10 mph",62,10,2,2,0,0,1,1,0,2,2,0,0,
29192,Stephen Gostkowski,K,2018,1,NWE,HOU,9/9/2018,201809090nwe,H,,27,20,-6,49.5,27.75,-7,outdoors,fieldturf ,"62 degrees, wind 10 mph",62,10,2,2,0,0,2,0,0,3,3,0,0,
29193,Chandler Catanzaro,K,2018,1,TAM,NOR,9/9/2018,201809090nor,A,,48,40,10,50,20,-8,dome,sportturf,indoors,,,2,3,0,0,2,0,0,6,6,0,0,
29194,Wil Lutz,K,2018,1,NOR,TAM,9/9/2018,201809090nor,H,,40,48,-10,50,30,8,dome,sportturf,indoors,,,1,1,0,0,1,0,0,3,3,0,0,
29195,Robbie Gould,K,2018,1,SFO,MIN,9/9/2018,201809090min,A,,16,24,6,46.5,20.25,8,dome,sportturf,indoors,,,3,3,0,1,1,1,0,1,1,0,0,
29196,Daniel Carlson,K,2018,1,MIN,SFO,9/9/2018,201809090min,H,,24,16,-6,46.5,26.25,-8,dome,sportturf,indoors,,,1,1,0,0,0,1,0,3,3,0,0,
29197,Ryan Succop,K,2018,1,TEN,MIA,9/9/2018,201809090mia,A,,20,27,-1,43.5,22.25,7,outdoors,grass ,"89 degrees, wind 7 mph",89,7,2,2,0,0,0,1,1,2,2,0,0,
29198,Jason Sanders,K,2018,1,MIA,TEN,9/9/2018,201809090mia,H,,27,20,1,43.5,21.25,-7,outdoors,grass ,"89 degrees, wind 7 mph",89,7,2,2,0,1,1,0,0,3,3,0,0,
29199,Randy Bullock,K,2018,1,CIN,IND,9/9/2018,201809090clt,A,,34,23,-1,47.5,24.25,-11,retractable roof (closed),fieldturf ,indoors,,,2,2,0,0,1,1,0,4,4,0,0,
29200,Adam Vinatieri,K,2018,1,IND,CIN,9/9/2018,201809090clt,H,,23,34,1,47.5,23.25,11,retractable roof (closed),fieldturf ,indoors,,,3,4,0,1,1,0,1,2,2,0,0,
29201,Justin Tucker,K,2018,1,BAL,BUF,9/9/2018,201809090rav,H,,47,3,-7.5,39,23.25,-44,outdoors,grass,"61 degrees, wind 12 mph",61,12,2,2,0,0,1,1,0,5,5,0,0,
29202,Josh Lambo,K,2018,1,JAX,NYG,9/9/2018,201809090nyg,A,,20,15,-2.5,43,22.75,-5,outdoors,fieldturf ,"59 degrees, wind 7 mph",59,7,2,2,0,0,2,0,0,2,2,0,0,
29203,Harrison Butker,K,2018,1,KAN,LAC,9/9/2018,201809090sdg,A,,38,28,3.5,48,22.25,-10,outdoors,grass,"84 degrees, wind 8 mph",84,8,1,1,0,0,0,1,0,5,5,0,0,
29204,Sebastian Janikowski,K,2018,1,SEA,DEN,9/9/2018,201809090den,A,,24,27,3,42.5,19.75,3,outdoors,grass ,"84 degrees, wind 5 mph",84,5,1,2,0,0,1,0,0,3,3,0,0,
29205,Brandon McManus,K,2018,1,DEN,SEA,9/9/2018,201809090den,H,,27,24,-3,42.5,22.75,-3,outdoors,grass ,"84 degrees, wind 5 mph",84,5,2,2,0,0,0,0,2,3,3,0,0,
29206,Dustin Hopkins,K,2018,1,WAS,ARI,9/9/2018,201809090crd,A,,24,6,2,43.5,20.75,-18,retractable roof (closed),grass ,indoors,,,1,1,0,0,1,0,0,3,3,0,0,
29207,Graham Gano,K,2018,1,CAR,DAL,9/9/2018,201809090car,H,,16,8,-2.5,42.5,22.5,-8,outdoors,grass ,"81 degrees, wind 9 mph",81,9,1,1,0,1,0,0,0,1,1,0,0,
29208,Cody Parkey,K,2018,1,CHI,GNB,9/9/2018,201809090gnb,A,,23,24,6.5,45,19.25,1,outdoors,grass ,"62 degrees, wind 10 mph",62,10,3,3,0,1,2,0,0,2,2,0,0,
29209,Mason Crosby,K,2018,1,GNB,CHI,9/9/2018,201809090gnb,H,,24,23,-6.5,45,25.75,-1,outdoors,grass ,"62 degrees, wind 10 mph",62,10,1,1,0,0,0,1,0,3,3,0,0,
29210,Jason Myers,K,2018,1,NYJ,DET,9/10/2018,201809100det,A,,48,17,7,44,18.5,-31,dome,fieldturf ,indoors,,,2,2,0,0,2,0,0,6,6,0,0,
29211,Matt Prater,K,2018,1,DET,NYJ,9/10/2018,201809100det,H,,17,48,-7,44,25.5,31,dome,fieldturf ,indoors,,,1,3,0,1,0,0,0,2,2,0,0,
29212,Greg Zuerlein,K,2018,1,LAR,OAK,9/10/2018,201809100rai,A,,33,13,-6.5,47.5,27,-20,outdoors,grass ,"69 degrees, wind 10 mph",69,10,4,5,0,3,0,0,1,3,3,0,0,
29213,Mike Nugent,K,2018,1,OAK,LAR,9/10/2018,201809100rai,H,,13,33,6.5,47.5,20.5,20,outdoors,grass ,"69 degrees, wind 10 mph",69,10,2,2,0,1,0,1,0,1,1,0,0,
29214,Justin Tucker,K,2018,2,BAL,CIN,9/13/2018,201809130cin,A,,23,34,1,43,21,11,outdoors,fieldturf ,"82 degrees, wind 3 mph",82,3,1,1,0,0,0,0,1,2,2,0,0,
29215,Randy Bullock,K,2018,2,CIN,BAL,9/13/2018,201809130cin,H,,34,23,-1,43,22,-11,outdoors,fieldturf ,"82 degrees, wind 3 mph",82,3,2,2,0,1,0,1,0,4,4,0,0,
29216,Ka'imi Fairbairn,K,2018,2,HOU,TEN,9/16/2018,201809160oti,A,,17,20,-3.5,41,22.25,3,outdoors,grass ,"81 degrees, wind 12 mph",81,12,1,2,0,0,1,0,0,2,2,0,0,
29217,Ryan Succop,K,2018,2,TEN,HOU,9/16/2018,201809160oti,H,,20,17,3.5,41,18.75,-3,outdoors,grass ,"81 degrees, wind 12 mph",81,12,2,2,0,0,1,1,0,2,2,0,0,
29218,Wil Lutz,K,2018,2,NOR,CLE,9/16/2018,201809160nor,H,,21,18,-10,51,30.5,-3,dome,sportturf,indoors,,,2,3,0,0,1,1,0,1,1,0,0,
29219,Mason Crosby,K,2018,2,GNB,MIN,9/16/2018,201809160gnb,H,OT,29,29,2,45,21.5,0,outdoors,grass ,"80 degrees, wind 5 mph",80,5,5,6,0,0,3,2,0,2,2,0,0,
29220,Caleb Sturgis,K,2018,2,LAC,BUF,9/16/2018,201809160buf,A,,31,20,-7.5,41.5,24.5,-11,outdoors,a_turf,"83 degrees, wind 6 mph",83,6,1,1,0,1,0,0,0,4,4,0,0,
29221,Stephen Hauschka,K,2018,2,BUF,LAC,9/16/2018,201809160buf,H,,20,31,7.5,41.5,17,11,outdoors,a_turf,"83 degrees, wind 6 mph",83,6,2,2,0,0,0,2,0,2,2,0,0,
29222,Graham Gano,K,2018,2,CAR,ATL,9/16/2018,201809160atl,A,,24,31,5.5,44,19.25,7,dome,fieldturf,indoors,,,1,1,0,0,0,0,1,3,3,0,0,
29223,Matt Bryant,K,2018,2,ATL,CAR,9/16/2018,201809160atl,H,,31,24,-5.5,44,24.75,-7,dome,fieldturf,indoors,,,1,1,0,0,0,1,0,4,4,0,0,
29224,Matt Prater,K,2018,2,DET,SFO,9/16/2018,201809160sfo,A,,27,30,49,48.5,-0.25,3,outdoors,grass,"73 degrees, wind 12 mph",73,12,2,2,0,1,0,1,0,3,3,0,0,
29225,Robbie Gould,K,2018,2,SFO,DET,9/16/2018,201809160sfo,H,,30,27,-49,48.5,48.75,-3,outdoors,grass,"73 degrees, wind 12 mph",73,12,3,3,0,0,1,2,0,3,3,0,0,
29226,Stephen Gostkowski,K,2018,2,NWE,JAX,9/16/2018,201809160jax,A,,20,31,-2,44.5,23.25,11,outdoors,grass ,"97 degrees, wind 15 mph",97,15,2,3,0,1,0,1,0,2,2,0,0,
29227,Josh Lambo,K,2018,2,JAX,NWE,9/16/2018,201809160jax,H,,31,20,2,44.5,21.25,-11,outdoors,grass ,"97 degrees, wind 15 mph",97,15,1,1,0,1,0,0,0,4,4,0,0,
29228,Mike Nugent,K,2018,2,OAK,DEN,9/16/2018,201809160den,A,,19,20,5.5,44,19.25,1,outdoors,grass ,"92 degrees, wind 4 mph",92,4,2,2,0,1,0,1,0,1,2,0,0,
29229,Brandon McManus,K,2018,2,DEN,OAK,9/16/2018,201809160den,H,,20,19,-5.5,44,24.75,-1,outdoors,grass ,"92 degrees, wind 4 mph",92,4,2,2,0,0,2,0,0,2,2,0,0,
29230,Aldrick Rosas,K,2018,2,NYG,DAL,9/16/2018,201809160dal,A,,13,20,3,42,19.5,7,retractable roof (closed),matrixturf,indoors,,,2,2,0,1,1,0,0,1,1,0,0,
29231,Brett Maher,K,2018,2,DAL,NYG,9/16/2018,201809160dal,H,,20,13,-3,42,22.5,-7,retractable roof (closed),matrixturf,indoors,,,2,2,0,1,1,0,0,2,2,0,0,
29232,Sebastian Janikowski,K,2018,2,SEA,CHI,9/17/2018,201809170chi,A,,17,24,4.5,42.5,19,7,outdoors,grass ,"79 degrees, wind 2 mph",79,2,1,1,0,0,0,0,1,2,2,0,0,
29233,Cody Parkey,K,2018,2,CHI,SEA,9/17/2018,201809170chi,H,,24,17,-4.5,42.5,23.5,-7,outdoors,grass ,"79 degrees, wind 2 mph",79,2,1,1,0,1,0,0,0,3,3,0,0,
29234,Jason Myers,K,2018,3,NYJ,CLE,9/20/2018,201809200cle,A,,17,21,3,41,19,4,outdoors,grass ,"83 degrees, wind 11 mph",83,11,1,1,0,1,0,0,0,2,2,0,0,
29235,Greg Joseph,K,2018,3,CLE,NYJ,9/20/2018,201809200cle,H,,21,17,-3,41,22,-4,outdoors,grass ,"83 degrees, wind 11 mph",83,11,2,2,0,1,0,1,0,1,1,0,0,
29236,Adam Vinatieri,K,2018,3,IND,PHI,9/23/2018,201809230phi,A,,16,20,6.5,45.5,19.5,4,outdoors,grass ,"61 degrees, wind 5 mph",61,5,3,3,0,1,2,0,0,1,1,0,0,
29237,Jake Elliott,K,2018,3,PHI,IND,9/23/2018,201809230phi,H,,20,16,-6.5,45.5,26,-4,outdoors,grass ,"61 degrees, wind 5 mph",61,5,2,3,0,1,1,0,0,2,2,0,0,
29238,Stephen Hauschka,K,2018,3,BUF,MIN,9/23/2018,201809230min,A,,27,6,16.5,41,12.25,-21,dome,sportturf,indoors,,,2,2,0,0,1,0,1,3,3,0,0,
29239,Mike Nugent,K,2018,3,OAK,MIA,9/23/2018,201809230mia,A,,20,28,3,46,21.5,8,outdoors,grass ,"90 degrees, wind 7 mph",90,7,2,2,0,1,0,0,1,2,2,0,0,
